,順位,選手,チーム,打率,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,故意四球,死球,三振,併殺打,長打率,出塁率,ops,wOBA_失策出塁3
0,1,ビシエド,(中),0.348,135,582,512,91,178,26,1,26,284,99,3,4,0,4,51,4,15,61,24,.555,0.419,0.974,0.445716955017301
1,2,坂本　勇人,(巨),0.345,109,502,441,87,152,27,2,18,237,67,9,5,0,0,61,10,0,83,4,.537,0.424,0.9610000000000001,0.4467280487804877
2,3,平田　良介,(中),0.32899999999999996,138,568,493,83,162,26,5,9,225,55,8,7,2,3,67,4,3,69,7,.456,0.41,0.866,0.41560782918149464
3,4,青木　宣親,(ヤ),0.327,127,567,495,85,162,37,3,10,235,67,3,4,0,2,51,1,19,48,13,.475,0.409,0.8839999999999999,0.4192420494699647
4,5,アルモンテ,(中),0.321,132,546,498,56,160,37,0,15,242,77,1,1,0,3,44,1,1,95,16,.486,0.375,0.861,0.4019387155963302
5,6,鈴木　誠也,(広),0.32,124,520,422,86,135,32,2,30,261,94,4,4,0,5,88,2,5,116,4,.618,0.43799999999999994,1.056,0.5007764478764478
6,7,雄平,(ヤ),0.318,125,482,446,50,142,19,1,11,196,67,6,1,0,2,33,5,1,62,13,.439,0.365,0.804,0.3701605870020964
7,8,宮﨑　敏郎,(デ),0.318,142,590,551,71,175,34,0,28,293,71,0,0,0,0,38,3,1,45,16,.532,0.363,0.895,0.40625383304940377
8,9,坂口　智隆,(ヤ),0.317,139,595,508,64,161,22,4,3,200,37,9,7,7,2,75,5,3,60,15,.394,0.406,0.8,0.3937478559176672
9,10,山田　哲人,(ヤ),0.315,140,637,524,130,165,30,4,34,305,89,33,4,0,3,106,5,4,119,8,.582,0.43200000000000005,1.014,0.48218702531645563
10,11,ソト,(デ),0.31,107,459,416,74,129,16,0,41,268,95,0,1,0,5,29,2,9,100,5,.644,0.364,1.008,0.4462262582056893
11,12,岡本　和真,(巨),0.309,143,616,540,82,167,26,0,33,292,100,2,1,0,0,72,1,4,120,11,.541,0.39399999999999996,0.935,0.44045560975609754
12,13,糸井　嘉男,(神),0.308,119,509,419,60,129,24,0,16,201,68,22,3,0,5,77,4,8,63,9,.480,0.42,0.8999999999999999,0.4386744554455446
13,14,丸　佳浩,(広),0.306,125,566,432,109,132,22,0,39,271,97,10,10,0,1,130,8,3,130,5,.627,0.46799999999999997,1.095,0.5280078853046595
14,15,松山　竜平,(広),0.302,124,446,397,46,120,25,2,12,185,74,2,0,0,5,42,4,2,46,10,.466,0.368,0.8340000000000001,0.39102398190045246
15,16,筒香　嘉智,(デ),0.295,139,580,495,77,146,33,1,38,295,89,0,0,0,3,80,7,2,107,10,.596,0.39299999999999996,0.9889999999999999,0.45957521815008723
16,17,ロペス,(デ),0.28800000000000003,110,459,441,46,127,23,0,26,228,77,0,0,0,1,16,1,1,58,12,.517,0.314,0.831,0.3711965065502183
17,18,野間　峻祥,(広),0.28600000000000003,126,447,405,64,116,14,7,5,159,46,17,10,4,2,30,0,6,69,2,.393,0.34299999999999997,0.736,0.3505191873589164
18,19,糸原　健斗,(神),0.28600000000000003,143,637,531,79,152,29,4,1,192,35,6,4,9,4,86,1,7,73,5,.362,0.39,0.752,0.3829521531100478
19,20,マギー,(巨),0.285,132,547,499,65,142,28,0,21,233,84,2,0,0,6,41,1,1,92,12,.467,0.336,0.803,0.3728168498168498
20,21,福留　孝介,(神),0.28,123,499,414,57,116,26,2,14,188,72,2,1,0,7,73,2,5,90,10,.454,0.389,0.843,0.4153223340040241
21,22,大島　洋平,(中),0.27399999999999997,141,645,588,92,161,20,7,7,216,57,21,9,1,5,47,2,4,80,2,.367,0.32899999999999996,0.696,0.33099221183800626
22,23,バレンティン,(ヤ),0.268,142,602,514,72,138,22,0,38,274,131,1,1,0,3,85,5,0,121,15,.533,0.37,0.903,0.42834505862646566
23,24,田中　広輔,(広),0.262,143,675,572,92,150,19,10,10,219,60,32,13,6,5,75,3,17,118,6,.383,0.36200000000000004,0.7450000000000001,0.36689399399399397
24,25,福田　永将,(中),0.261,133,487,440,50,115,22,1,13,178,63,0,0,0,5,37,1,5,119,13,.405,0.322,0.7270000000000001,0.3450456790123457
25,26,梅野　隆太郎,(神),0.259,132,455,386,45,100,27,1,8,153,47,5,1,28,1,39,3,1,67,6,.396,0.32799999999999996,0.724,0.3493919811320755
26,27,高橋　周平,(中),0.254,128,477,433,35,110,26,2,11,173,69,0,0,8,3,30,1,3,89,9,.400,0.305,0.7050000000000001,0.3321769230769231
27,28,亀井　善行,(巨),0.254,123,461,422,47,107,20,0,13,166,49,4,0,0,1,36,2,2,70,6,.393,0.315,0.708,0.33735468409586056
28,29,西浦　直亨,(ヤ),0.242,138,550,479,57,116,28,0,10,174,55,1,2,20,3,40,1,8,88,10,.363,0.309,0.6719999999999999,0.3251584120982987
29,30,京田　陽太,(中),0.235,143,632,578,73,136,15,7,4,177,44,20,10,26,3,19,0,6,111,12,.306,0.266,0.5720000000000001,0.26598646864686465
30,31,菊池　涼介,(広),0.233,139,642,557,85,130,27,1,13,198,60,10,2,30,1,51,2,3,111,5,.355,0.301,0.6559999999999999,0.3182816393442623
