,ID,rank2018,team2018,batting_average2018,numOfGames2018,plate_appearances2018,atbat2018,hits2018,HRｓ2018,RBI2018,steal2018,walks2018,deadball2018,strike_out2018,sacrifice_bunt2018,double_play2018,On_base_percentage2018,Slugging_percentage2018,OPS2018,RC272018,XR272018,rank2017,team2017,batting_average2017,numOfGames2017,plate_appearances2017,atbat2017,hits2017,HRｓ2017,RBI2017,steal2017,walks2017,deadball2017,strike_out2017,sacrifice_bunt2017,double_play2017,On_base_percentage2017,Slugging_percentage2017,OPS2017,RC272017,XR272017,rank2016,team2016,batting_average2016,numOfGames2016,plate_appearances2016,atbat2016,hits2016,HRｓ2016,RBI2016,steal2016,walks2016,deadball2016,strike_out2016,sacrifice_bunt2016,double_play2016,On_base_percentage2016,Slugging_percentage2016,OPS2016,RC272016,XR272016,rank2015,team2015,batting_average2015,numOfGames2015,plate_appearances2015,atbat2015,hits2015,HRｓ2015,RBI2015,steal2015,walks2015,deadball2015,strike_out2015,sacrifice_bunt2015,double_play2015,On_base_percentage2015,Slugging_percentage2015,OPS2015,RC272015,XR272015,rank2014,team2014,batting_average2014,numOfGames2014,plate_appearances2014,atbat2014,hits2014,HRｓ2014,RBI2014,steal2014,walks2014,deadball2014,strike_out2014,sacrifice_bunt2014,double_play2014,On_base_percentage2014,Slugging_percentage2014,OPS2014,RC272014,XR272014,player_name
0,0,207.0,Fighters,0.2,53.0,180.0,160.0,32.0,7.0,18.0,0.0,16.0,3.0,60.0,0.0,1.0,0.28300000000000003,0.381,0.665,3.72,3.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,清宮 幸太郎
1,1,217.0,Orix,0.193,31.0,93.0,88.0,17.0,2.0,8.0,2.0,3.0,0.0,27.0,1.0,1.0,0.217,0.307,0.524,2.01,2.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,西村 凌
2,2,230.0,Yakult,0.184,23.0,47.0,38.0,7.0,0.0,0.0,1.0,6.0,0.0,12.0,3.0,1.0,0.295,0.237,0.532,1.95,2.1,137.0,Yakult,0.242,59.0,246.0,219.0,53.0,1.0,13.0,6.0,18.0,0.0,44.0,9.0,3.0,0.3,0.32,0.619,3.04,2.99,260.0,Yakult,0.16699999999999998,7.0,19.0,18.0,3.0,0.0,0.0,1.0,1.0,0.0,8.0,0.0,0.0,0.211,0.16699999999999998,0.377,0.89,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,山崎 晃大朗
3,3,290.0,Fighters,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.7,-2.43,,,,,,,,,,,,,,,,,,,,,219.0,Fighters,0.2,12.0,17.0,15.0,3.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.235,0.267,0.502,2.11,2.76,,,,,,,,,,,,,,,,,,,,,312.0,Fighters,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-2.92,-2.7,大嶋 匠
4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.0,Softbank,0.282,141.0,584.0,510.0,144.0,31.0,98.0,0.0,62.0,9.0,109.0,0.0,17.0,0.368,0.524,0.892,6.53,6.46,39.0,Softbank,0.3,144.0,625.0,566.0,170.0,19.0,68.0,0.0,46.0,10.0,97.0,0.0,18.0,0.362,0.454,0.816,5.64,5.5,李 大浩
5,5,189.0,Carp,0.213,38.0,94.0,80.0,17.0,5.0,14.0,0.0,11.0,3.0,19.0,0.0,3.0,0.33,0.513,0.8420000000000001,5.38,5.32,78.0,Carp,0.265,116.0,405.0,344.0,91.0,27.0,78.0,0.0,50.0,8.0,111.0,0.0,8.0,0.368,0.532,0.9,6.8,6.9,39.0,Carp,0.294,95.0,354.0,316.0,93.0,21.0,53.0,1.0,31.0,4.0,86.0,0.0,8.0,0.362,0.5379999999999999,0.9,6.81,6.78,177.0,Carp,0.227,79.0,300.0,264.0,60.0,19.0,54.0,1.0,31.0,1.0,91.0,0.0,3.0,0.307,0.466,0.773,4.85,5.18,117.0,Carp,0.26,118.0,505.0,454.0,118.0,37.0,104.0,2.0,41.0,7.0,169.0,0.0,8.0,0.329,0.544,0.873,6.2,6.28,エルドレッド
6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.0,Giants,0.234,98.0,321.0,269.0,63.0,1.0,19.0,3.0,37.0,3.0,36.0,10.0,4.0,0.331,0.279,0.61,3.32,3.41,131.0,Giants,0.256,87.0,187.0,164.0,42.0,3.0,16.0,0.0,18.0,0.0,24.0,4.0,11.0,0.328,0.329,0.657,3.04,3.11,井端 弘和
7,7,168.0,Tigers,0.222,32.0,22.0,18.0,4.0,0.0,2.0,0.0,1.0,0.0,4.0,3.0,0.0,0.263,0.278,0.541,2.27,2.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287.0,DeNA,0.103,25.0,34.0,29.0,3.0,0.0,2.0,2.0,3.0,0.0,12.0,2.0,0.0,0.188,0.138,0.325,0.52,0.71,180.0,DeNA,0.239,115.0,374.0,309.0,74.0,2.0,20.0,2.0,19.0,6.0,64.0,38.0,4.0,0.295,0.294,0.589,2.72,2.76,山崎 憲晴
8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.0,DeNA,0.206,70.0,76.0,68.0,14.0,4.0,11.0,0.0,8.0,0.0,17.0,0.0,2.0,0.289,0.441,0.731,4.05,4.11,,,,,,,,,,,,,,,,,,,,,後藤 武敏 Ｇ．
9,9,290.0,Carp,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.7,-2.43,229.0,Carp,0.189,56.0,45.0,37.0,7.0,0.0,2.0,1.0,3.0,1.0,17.0,4.0,0.0,0.268,0.21600000000000005,0.485,1.97,2.05,255.0,Carp,0.175,55.0,96.0,80.0,14.0,1.0,8.0,3.0,13.0,2.0,16.0,0.0,1.0,0.302,0.238,0.54,2.85,3.16,203.0,Carp,0.214,30.0,34.0,28.0,6.0,0.0,2.0,3.0,6.0,0.0,7.0,0.0,1.0,0.353,0.214,0.5670000000000001,1.62,1.89,22.0,Carp,0.315,59.0,128.0,111.0,35.0,3.0,6.0,4.0,16.0,1.0,27.0,0.0,0.0,0.406,0.468,0.875,7.35,7.03,天谷 宗一郎
10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,DeNA,0.259,11.0,29.0,27.0,7.0,1.0,4.0,0.0,1.0,0.0,5.0,0.0,0.0,0.276,0.37,0.6459999999999999,3.77,4.26,115.0,DeNA,0.255,40.0,102.0,98.0,25.0,4.0,13.0,0.0,3.0,0.0,28.0,0.0,0.0,0.275,0.449,0.723,4.51,4.52,231.0,DeNA,0.205,36.0,77.0,73.0,15.0,3.0,13.0,0.0,3.0,0.0,20.0,0.0,2.0,0.234,0.37,0.604,2.51,2.77,井手 正太郎
